162.bmp 649.bmp 611.bmp 
381.bmp 6.19602e+08 5.3836e+08 4.69341e+08
382.bmp 7.03374e+08 5.08838e+08 5.24399e+08
383.bmp 6.68983e+08 5.08668e+08 5.03582e+08
384.bmp 7.13415e+08 5.99834e+08 5.42627e+08
385.bmp 6.7792e+08 5.31081e+08 5.1044e+08
386.bmp 6.88407e+08 5.67499e+08 5.22835e+08
387.bmp 6.3547e+08 5.65716e+08 4.77295e+08
388.bmp 7.25226e+08 5.85723e+08 5.54761e+08
389.bmp 6.68113e+08 5.26845e+08 4.97241e+08
390.bmp 6.61825e+08 5.8324e+08 5.0271e+08
391.bmp 6.7874e+08 4.74665e+08 4.95896e+08
392.bmp 6.66331e+08 5.79475e+08 5.01074e+08
393.bmp 6.81304e+08 5.01849e+08 5.03245e+08
394.bmp 7.00596e+08 6.15387e+08 5.38674e+08
395.bmp 6.68355e+08 5.49108e+08 4.99601e+08
396.bmp 6.71544e+08 5.79761e+08 5.069e+08
397.bmp 6.62167e+08 6.00966e+08 5.09963e+08
398.bmp 7.32452e+08 6.07705e+08 5.66723e+08
399.bmp 6.63225e+08 5.22146e+08 4.90073e+08
400.bmp 3.9789e+08 6.48979e+08 3.11811e+08
401.bmp 1.95458e+08 7.26406e+08 1.68622e+08
402.bmp 5.75748e+08 5.53225e+08 4.23955e+08
403.bmp 7.31586e+08 5.62414e+08 5.46108e+08
404.bmp 7.80715e+08 6.3614e+08 6.11195e+08
405.bmp 5.94066e+08 5.7134e+08 4.4392e+08
406.bmp 6.49654e+08 5.67287e+08 4.8444e+08
407.bmp 7.78074e+08 6.31408e+08 6.06622e+08
408.bmp 7.52511e+08 6.05087e+08 5.78638e+08
409.bmp 5.67289e+08 5.6036e+08 4.26128e+08
410.bmp 7.85478e+08 6.40257e+08 6.14442e+08
411.bmp 7.05856e+08 2.93421e+08 5.1748e+08
412.bmp 6.82954e+08 5.71951e+08 5.14067e+08
413.bmp 7.72381e+08 6.21227e+08 5.98314e+08
414.bmp 2.91129e+08 6.84485e+08 2.25352e+08
415.bmp 7.83346e+08 6.31326e+08 6.055e+08
416.bmp 4.60572e+08 6.11985e+08 3.64285e+08
417.bmp 7.46248e+08 5.18722e+08 5.46392e+08
418.bmp 6.84022e+08 5.15368e+08 5.10175e+08
419.bmp 6.67818e+08 5.31786e+08 4.9403e+08
420.bmp 5.34311e+08 5.73467e+08 3.98424e+08
421.bmp 4.25364e+08 5.47631e+08 3.14704e+08
422.bmp 7.71469e+08 6.26336e+08 5.99407e+08
423.bmp 5.51298e+08 6.01836e+08 4.20897e+08
424.bmp 5.31054e+08 5.56193e+08 3.93816e+08
